Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Sex/Sport Expenses,Grand Total Expenses
2004,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2319,2029,4348,,,,,,,,,113986,,,113986,206072,168068,,374140,,,,,,,,,,,,,,,,,,,,,,,,,,110599,,110599,313786,,,313786,60939,,,60939,,,,,,,,,,81157,,81157,,,,,,,,,,,,,,,,,,,,,156823,119778,,276601,,95857,,95857,60289,,,60289,97519,96770,,194289,,,,,,,,,,,,,,,,,61708,51361,,113069,,,,,,,,,126839,114966,,241805,,88916,,88916,,,,,,,,,,,,,,,,,1197961,927472,,1423797,3549230
2005,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2301,2134,4435,,,,,,,,,103813,,,103813,162822,172250,,335072,,,,,,,,,,,,,,,,,,,,,,,,,,72977,,72977,316056,,,316056,43581,,,43581,,,,,,,,,,88147,,88147,,,,,,,,,,,,,,,,,,,,,120025,106860,,226885,,97188,,97188,53859,,,53859,84971,87295,,172266,,,,,,,,,,,,,,,,,39955,39312,,79267,,,,,,,,,114499,109901,,224400,,88839,,88839,,,,,,,,,,,,,,,,,1039581,862769,,2037809,3940159
2006,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2295,2125,4420,,,,,,,,,146977,,,146977,202735,200763,,403498,,,,,,,,,,,,,,,,,,,,,,,,,,94490,,94490,319078,,,319078,56015,,,56015,,,,,,,,,,85532,,85532,,,,,,,,,,,,,,,,,,,,,168967,110776,,279743,,126123,,126123,76952,,,76952,101372,102088,,203460,,,,,,,,,,,,,,,,,44465,46871,,91336,,,,,,,,,118631,115655,,234286,,104042,,104042,,,,,,,,,,,,,,,,,1235192,986340,,2150755,4372287
2007,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2454,2381,4835,,,,,,,,,144801,,,144801,244306,232337,,476643,,,,,,,,,144672,143082,,287754,,,,,,,,,,,,,,82626,,82626,379044,,,379044,81734,,,81734,,,,,,,,,,90522,,90522,,,,,,,,,,,,,,,,,,,,,210512,147488,,358000,,120097,,120097,89871,,,89871,127217,127609,,254826,,,,,,,,,,,,,,,,,54357,53376,,107733,,,,,,,,,,,,,,121833,,121833,,,,,,,,,,,,,,,,,1476514,1118970,,2169948,4765432
2008,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2546,2535,5081,,,,,,,,,153812,,,153812,220892,220558,,441450,,,,,,,,,136732,129611,,266343,,,,,,,,,,,,,,96721,,96721,360608,,,360608,100538,,,100538,,,,,,,,,,113538,,113538,,,,,,,,,,,,,,,,,,,,,210410,142071,,352481,,115484,,115484,96884,,,96884,110257,108931,,219188,,,,,,,,,,,,,,,,,44977,51080,,96057,,,,,,,,,,,,,,93491,,93491,,,,,,,,,,,,,,,,,1435110,1071485,,2336469,4843064
2009,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2562,2618,5180,,,,,,,,,161837,,,161837,246463,254720,,501183,,,,,,,,,131531,121493,,253024,,,,,,,,,,,,,,109785,,109785,352718,,,352718,81241,,,81241,,,,,,,,,,91663,,91663,,,,,,,,,,163662,,163662,,,,,,,,,215629,140398,,356027,,125242,,125242,117625,,,117625,108333,104233,,212566,,,,,,,,,,,,,,,,,58119,62294,,120413,,,,,,,,,,,,,,119745,,119745,,,,,,,,,,,,,,,,,1473496,1293235,,2450212,5216943
2010,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2624,2695,5319,,,,,,,,,171955,,,171955,321151,211982,,533133,,,,,,,,,135033,130369,,265402,,,,,,,,,,,,,,114029,,114029,335094,,,335094,81553,,,81553,,,,,,,,,,111221,,111221,,,,,,,,,,184836,,184836,,,,,,,,,236321,205865,,442186,,120399,,120399,116036,,,116036,89782,86923,,176705,,,,,,,,,,,,,,,,,60461,69682,,130143,,,,,,,,,,,,,,97168,,97168,,,,,,,,,,,,,,,,,1547386,1332474,,2258897,5138757
2011,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2662,2686,5348,,,,,,,,,187741,,,187741,257589,227946,,485535,,,,,,,,,148930,139643,,288573,,,,,,,,,,,,,,133320,,133320,368099,,,368099,76733,,,76733,,,,,,,,,,130584,,130584,,,,,,,,,,189910,,189910,,,,,,,,,167034,178087,,345121,,141940,,141940,118399,,,118399,93427,93601,,187028,,,,,,,,,,,,,,,,,65252,85641,,150893,,,,,,,,,,,,,,117725,,117725,,,,,,,,,,,,,,,,,1483204,1438397,,2275290,5196891
2012,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2717,2764,5481,,,,,,,,,194352,,,194352,255058,232208,,487266,,,,,,,,,143448,141557,,285005,,,,,,,,,,,,,,145483,,145483,364280,,,364280,105929,,,105929,,,,,,,,,,147567,,147567,,,,,,,,,,96553,,96553,,,,,,,,,191971,132839,,324810,,111133,,111133,182124,,,182124,113983,112898,,226881,,,,,,,,,,,,,,,,,82027,80328,,162355,,,,,,,,,,,,,,122091,,122091,,,,,,,,,,,,,,,,,1633172,1322657,,2637391,5593220
2013,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2880,2939,5819,,,,,,,,,195773,,,195773,235526,230981,,466507,,,,,,,,,148498,149276,,297774,,,,,,,,,,,,,,126126,,126126,423498,,,423498,108014,,,108014,,,,,,,,,,132826,,132826,,,,,,,,,,130634,,130634,,,,,,,,,208668,173235,,381903,,147032,,147032,142698,,,142698,121847,118742,,240589,,,,,,,,,,,,,,,,,88930,85262,,174192,,,,,,,,,,,,,,117739,,117739,,,,,,,,,,,,,,,,,1673452,1411853,,2598314,5683619
