Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Sex/Sport Revenue,Grand Total Revenue
2004,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2319,2029,4348,,,,,,,,,65073,,,65073,89140,61173,,150313,,,,,,,,,,,,,,,,,,,,,,,,,,78841,,78841,152552,,,152552,37172,,,37172,,,,,,,,,,30275,,30275,,,,,,,,,,,,,,,,,,,,,83044,52478,,135522,,38860,,38860,26706,,,26706,36945,41446,,78391,,,,,,,,,,,,,,,,,20195,12552,,32747,,,,,,,,,46435,41359,,87794,,26926,,26926,,,,,,,,,,,,,,,,,557262,383910,,2699820,3640992
2005,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2301,2134,4435,,,,,,,,,74409,,,74409,85232,82856,,168088,,,,,,,,,,,,,,,,,,,,,,,,,,29612,,29612,166748,,,166748,36407,,,36407,,,,,,,,,,35375,,35375,,,,,,,,,,,,,,,,,,,,,111128,52257,,163385,,45658,,45658,48664,,,48664,42727,39822,,82549,,,,,,,,,,,,,,,,,20380,13647,,34027,,,,,,,,,43106,40627,,83733,,27270,,27270,,,,,,,,,,,,,,,,,628801,367124,,3098418,4094343
2006,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2295,2125,4420,,,,,,,,,79509,,,79509,108199,94865,,203064,,,,,,,,,,,,,,,,,,,,,,,,,,40217,,40217,164868,,,164868,47037,,,47037,,,,,,,,,,27715,,27715,,,,,,,,,,,,,,,,,,,,,138839,70091,,208930,,53170,,53170,33435,,,33435,37265,38853,,76118,,,,,,,,,,,,,,,,,17710,12411,,30121,,,,,,,,,57126,50605,,107731,,46280,,46280,,,,,,,,,,,,,,,,,683988,434207,,3440401,4558596
2007,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2454,2381,4835,,,,,,,,,114735,,,114735,143663,126925,,270588,,,,,,,,,60274,57469,,117743,,,,,,,,,,,,,,38280,,38280,184129,,,184129,73410,,,73410,,,,,,,,,,44895,,44895,,,,,,,,,,,,,,,,,,,,,229026,125088,,354114,,85189,,85189,57805,,,57805,68839,68611,,137450,,,,,,,,,,,,,,,,,38852,19480,,58332,,,,,,,,,,,,,,64220,,64220,,,,,,,,,,,,,,,,,970733,630157,,3236414,4837304
2008,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2546,2535,5081,,,,,,,,,76244,,,76244,158800,112659,,271459,,,,,,,,,52979,50952,,103931,,,,,,,,,,,,,,56902,,56902,171003,,,171003,51346,,,51346,,,,,,,,,,50139,,50139,,,,,,,,,,,,,,,,,,,,,163456,101486,,264942,,67046,,67046,40369,,,40369,44716,44091,,88807,,,,,,,,,,,,,,,,,20490,20484,,40974,,,,,,,,,,,,,,44563,,44563,,,,,,,,,,,,,,,,,779403,548322,,3582434,4910159
2009,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2562,2618,5180,,,,,,,,,179346,,,179346,264489,292094,,556583,,,,,,,,,140767,132962,,273729,,,,,,,,,,,,,,119461,,119461,385896,,,385896,83262,,,83262,,,,,,,,,,121804,,121804,,,,,,,,,,178304,,178304,,,,,,,,,224113,155193,,379306,,115679,,115679,81504,,,81504,113067,111881,,224948,,,,,,,,,,,,,,,,,66208,45811,,112019,,,,,,,,,,,,,,120443,,120443,,,,,,,,,,,,,,,,,1538652,1393632,,2284659,5216943
2010,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2624,2695,5319,,,,,,,,,171955,,,171955,321151,211982,,533133,,,,,,,,,135033,130369,,265402,,,,,,,,,,,,,,114029,,114029,335094,,,335094,81553,,,81553,,,,,,,,,,111221,,111221,,,,,,,,,,184836,,184836,,,,,,,,,236321,205865,,442186,,120399,,120399,116036,,,116036,89782,86923,,176705,,,,,,,,,,,,,,,,,60461,69682,,130143,,,,,,,,,,,,,,97168,,97168,,,,,,,,,,,,,,,,,1547386,1332474,,2324165,5204025
2011,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2662,2686,5348,,,,,,,,,187741,,,187741,284860,248334,,533194,,,,,,,,,148930,139643,,288573,,,,,,,,,,,,,,133320,,133320,368099,,,368099,103668,,,103668,,,,,,,,,,130584,,130584,,,,,,,,,,189910,,189910,,,,,,,,,220683,178087,,398770,,145622,,145622,153505,,,153505,111717,111962,,223679,,,,,,,,,,,,,,,,,77304,85641,,162945,,,,,,,,,,,,,,117725,,117725,,,,,,,,,,,,,,,,,1656507,1480828,,2167740,5305075
2012,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2717,2764,5481,,,,,,,,,194352,,,194352,255058,232208,,487266,,,,,,,,,143448,141557,,285005,,,,,,,,,,,,,,145483,,145483,364280,,,364280,105929,,,105929,,,,,,,,,,147567,,147567,,,,,,,,,,96553,,96553,,,,,,,,,191971,132839,,324810,,111133,,111133,182124,,,182124,113983,112898,,226881,,,,,,,,,,,,,,,,,82027,80328,,162355,,,,,,,,,,,,,,122091,,122091,,,,,,,,,,,,,,,,,1633172,1322657,,2652819,5608648
2013,195030,00289400,University of Rochester,NY,NCAA Division III (with football),,1,NCAA,2880,2939,5819,,,,,,,,,195773,,,195773,235526,230981,,466507,,,,,,,,,148498,149276,,297774,,,,,,,,,,,,,,126126,,126126,423498,,,423498,108014,,,108014,,,,,,,,,,132826,,132826,,,,,,,,,,130634,,130634,,,,,,,,,208668,173235,,381903,,147032,,147032,142698,,,142698,121847,118742,,240589,,,,,,,,,,,,,,,,,88930,85262,,174192,,,,,,,,,,,,,,117739,,117739,,,,,,,,,,,,,,,,,1673452,1411853,,2609743,5695048
