year,athletics_expenses_real_2025dec,athletics_revenues_real_2025dec
2004,9663148.943,7802777.577
2005,9620367.945,8381715.988
2006,10588470.87,9115891.133
2007,11356787.76,9933166.307
2008,11329063.67,9615328.414
2009,11980335.61,12228765.15
2010,11855446.52,11951944.62
2011,11657759.08,12122889.55
2012,12065947.12,12087721.87
2013,12193164.95,12209056.94
2014,12703080.47,12742910.31
2015,13353603.26,13496240.45
2016,12245751.97,12589548.64
2017,13003921.43,13006822.52
2018,13067925.48,13067925.48
2019,12869033.6,12869033.6
2020,10588057.69,10588057.69
2021,11910043.94,11910043.94
2022,13790833.85,13790833.85
2023,13419877.06,13419877.06
